title,category,rating,quote
本杰明·巴顿奇事 / The Curious Case of Benjamin Button / 奇幻逆缘(港)  /  班杰明的奇幻旅程(台),2008 / 美国 / 剧情 爱情 奇幻,8.8,在时间之河里感受溺水之苦。
看不见的客人 / Contratiempo / 佈局(台)  /  死无对证(港),2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚,8.8,你以为你以为的就是你以为的。
美国往事 / Once Upon a Time in America / 四海兄弟(台)  /  义薄云天(港),1984 / 意大利 美国 / 犯罪 剧情,9.1,往事如烟，无处祭奠。
黑客帝国 / The Matrix / 廿二世纪杀人网络(港)  /  骇客任务(台),1999 / 美国 澳大利亚 / 动作 科幻,8.9,视觉革命。
西西里的美丽传说 / Malèna / 真爱伴我行(台)  /  玛莲娜,2000 / 意大利 美国 / 剧情 战争 情色,8.8,美丽无罪。
哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone / 哈利波特1：神秘的魔法石(港 / 台),2001 / 美国 英国 / 奇幻 冒险,8.9,童话世界的开端。
小鞋子 / بچههای آسمان / 天堂的孩子  /  小童鞋,1997 / 伊朗 / 剧情 儿童 家庭,9.2,奔跑的孩子是天使。
大闹天宫 / 大闹天宫 上下集  /  The Monkey King,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆) / 中国大陆 / 动画 奇幻,9.3,经典之作，历久弥新。
拯救大兵瑞恩 / Saving Private Ryan / 雷霆救兵(港)  /  抢救雷恩大兵(台),1998 / 美国 / 剧情 历史 战争,9.0,美利坚精神输出大片No1.
让子弹飞 / 让子弹飞一会儿  /  火烧云,2010 / 中国大陆 香港 / 剧情 喜剧 动作 西部,8.8,你给我翻译翻译，神马叫做TMD的惊喜。
致命魔术 / The Prestige / 顶尖对决(台)  /  死亡魔法(港),2006 / 美国 英国 / 剧情 悬疑 惊悚,8.8,孪生蝙蝠侠大战克隆金刚狼。
七宗罪 / Se7en / 火线追缉令(台)  /  7宗罪,1995 / 美国 / 剧情 犯罪 悬疑 惊悚,8.8,警察抓小偷，老鼠玩死猫。
音乐之声 / The Sound of Music / 仙乐飘飘处处闻(港)  /  真善美(台),1965 / 美国 / 剧情 传记 爱情 歌舞,9.0,用音乐化解仇恨，让歌声串起美好。
被嫌弃的松子的一生 / 嫌われ松子の一生 / 花样奇缘(港)  /  令人讨厌的松子的一生(台),2006 / 日本 / 剧情 歌舞,8.9,以戏谑来戏谑戏谑。
低俗小说 / Pulp Fiction / 黑色追緝令(台)  /  危险人物(港),1994 / 美国 / 剧情 喜剧 犯罪,8.8,故事的高级讲法。
猫鼠游戏 / Catch Me If You Can / 逍遥法外  /  神鬼交锋(台),2002 / 美国 加拿大 / 传记 犯罪 剧情,8.9,骗子大师和执著警探的你追我跑故事。
沉默的羔羊 / The Silence of the Lambs / 沉默的羔羊,1991 / 美国 / 剧情 犯罪 惊悚,8.8,安东尼·霍普金斯的顶级表演。
天使爱美丽 / Le fabuleux destin d'Amélie Poulain / 艾蜜莉的异想世界(台)  /  天使艾米莉,2001 / 法国 德国 / 喜剧 爱情,8.7,法式小清新。
